,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
257,rj721623,,В течение последних 12 месяцев Вы пользовались персональным компьютером в других местах? ,"During the past 12 months, have you used a personal computer in other places?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,12158,9595
258,rj721631,,Имеете ли Вы или Ваша семья возможность при желании улучшить свои жилищные условия - купить комнату; квартиру; дом? ,Do you or your family if you want the opportunity to improve their living conditions - to buy a room; apartment; house?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
259,rj721632,,Имеете ли Вы или Ваша семья возможность при желании оплачивать дополнительные занятия детей - музыкальную школу; иностранные языки; спортивные секции; кружки и т.п.? ,"Do you or your family if you want the opportunity to pay for tutoring children - music school; foreign languages; sports clubs; mugs, etc.?",НЕ ОТНОСИТСЯ | Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
260,rj721633,,Имеете ли Вы или Ваша семья возможность при желании откладывать деньги на крупные покупки - машину; дачу? ,Do you or your family if you want the opportunity to save for a major purchase - car; cottage?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
261,rj721634,,Имеете ли Вы или Ваша семья возможность при желании провести всей семьей отпуск за границей? ,Do you or your family if you want the opportunity to spend a family holiday abroad?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
262,rj721635,,Имеете ли Вы или Ваша семья возможность при желании оплачивать учебу ребенка в ВУЗе? ,Do you or your family if you want the opportunity to pay for the child's education at the university?,НЕ ОТНОСИТСЯ | Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
263,rj72.171,,У Вас есть дети; родные или официально усыновленные? ,Do you have children; relatives or officially adopted?,Да | Нет | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17954,3799
264,rj72.172,,Сколько всего у Вас детей? ,How many children do you have?,2.0e+00 | 1.0e+00 | 3.0e+00 | 4.0e+00 | 5.0e+00 | 6.0e+00,13310,8443
265,rj72.173,,А сколько из них моложе 18 лет? ,And how many of those under age 18?,0e+00 | 1e+00 | 2e+00 | 3e+00 | 1e+08 | 4e+00,13310,8443
266,rj72.18,,В нашем обществе в последнее время много говорят о религии. А каково Ваше отношение к религии? ,In our society in recent years has been much talk about religion. And what are your views on religion?,"Вы скорее верующий, чем неверующий человек | Вы верующий человек | Вы скорее неверующий, чем верующий человек | Вы неверующий человек | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Вы атеист",17954,3799
267,rj72.18a,,Какой у Вас самый высокий уровень образования; по которому Вы получили аттестат; свидетельство; диплом? ,What is your highest level of education; on which you received the certificate; certificate; diploma?,"ТЕХНИКУМ, МЕДИЦИНСКОЕ, МУЗЫКАЛЬНОЕ, ХУДОЖЕСТВЕННОЕ, ПЕДАГОГИЧЕСКОЕ УЧИЛИЩЕ | ИНСТИТУТ, УНИВЕРСИТЕТ, АКАДЕМИЯ, ДИПЛОМ СПЕЦИАЛИСТА | ПТУ СО СРЕДНИМ ОБРАЗОВАНИЕМ, ТЕХНИЧЕСКОЕ УЧИЛИЩЕ | ПОЛНАЯ СРЕДНЯЯ ШКОЛА | НАЧАЛЬНАЯ ИЛИ НЕПОЛНАЯ СРЕДНЯЯ ШКОЛА | ПРОФЕССИОНАЛЬНЫЕ КУРСЫ ШОФЕРОВ, ТРАКТОРИСТОВ, БУХГАЛТЕРОВ, МАШИНИСТОК И Т.Д.",17244,4509
